,X,userLanguage,District,School.Attleboro,School.Boston,School.Lowell,School.Revere,School.Somerville,School.Winchester,StudentID,Grade,s.emsa.q1,s.emsa.q2,s.emsa.q3,s.tint.q1,s.tint.q2,s.tint.q3,s.tint.q4,s.tint.q5,s.acpr.q1,s.acpr.q2,s.acpr.q3,s.acpr.q4,s.cure.q1,s.cure.q2,s.cure.q3,s.cure.q4,s.sten.q1,s.sten.q2,s.sten.q3,s.sper.q1,s.sper.q2,s.sper.q3,s.sper.q4,s.civp.q1,s.civp.q2,s.civp.q3,s.civp.q4,s.grmi.q1,s.grmi.q2,s.grmi.q3,s.grmi.q4,s.appa.q1,s.appa.q2,s.appa.q3,s.peff.q1,s.peff.q2,s.peff.q3,s.peff.q4,s.peff.q5,s.peff.q6,s.sbel.q1,s.sbel.q2,s.sbel.q3,s.sbel.q4,s.sbel.q5,s.phys.q1,s.phys.q2,s.phys.q3,s.phys.q4,s.vale.q1,s.vale.q2,s.vale.q3,s.vale.q4,s.acst.q1,s.acst.q2,s.acst.q3,s.sust.q1,s.sust.q2,s.grit.q1,s.grit.q2,s.grit.q3,s.grit.q4,s.expa.q1,s.poaf.q1,s.poaf.q2,s.poaf.q3,s.poaf.q4,s.tint.q1,s.tint.q2,s.tint.q3,s.tint.q4,s.tint.q5,s.acpr.q1,s.acpr.q2,s.acpr.q3,s.acpr.q4,s.peff.q1,s.peff.q2,s.peff.q3,s.peff.q4,s.peff.q5,s.peff.q6,Q90,Q90_3_TEXT,Q91_1,Q91_2,Q91_3,Q91_4,Q91_5,Q91_6,Q91_7,Q91_7_TEXT,Q_Language
7916,7918,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46714671,4,3,2,4,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,3,2,2,4,3,5,4,4,2,3,2,5,1,4,5,4,2,2,4,4,1,1,5,4,3,2,3,2,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
7917,7919,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46514651,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,5,5,4,4,5,5,4,5,5,5,4,4,4,5,5,5,5,4,3,2,4,4,4,2,3,4,4,4,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,Porchigees/German/french Canadian,EN
7918,7920,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46524652,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,5,5,5,2,4,5,3,3,2,3,2,2,3,3,2,5,3,4,4,5,3,3,2,5,2,3,3,4,3,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7920,7922,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47374737,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3,4,NA,NA,NA,NA,NA,NA,NA,3,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,4,4,4,3,4,4,4,3,4,2,3,5,3,4,5,4,4,3,3,2,2,1,2,2,3,4,2,5,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,canadian american,EN
7921,7923,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47414741,4,3,5,3,3,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,2,4,NA,NA,NA,4,4,1,3,3,3,2,4,2,3,1,4,3,3,3,4,1,4,4,4,4,4,1,1,2,3,3,2,1,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,taiwanese american,EN
7923,7925,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49364936,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,4,4,4,5,5,5,5,4,5,4,5,5,4,5,4,3,4,5,4,3,1,3,3,4,4,3,5,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,EN
7924,7926,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46504650,4,4,5,5,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,5,5,1,2,1,1,1,1,1,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7925,7927,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,48764876,4,5,5,5,5,3,4,4,4,5,5,4,5,3,3,4,3,3,3,4,3,4,1,3,4,4,5,4,4,2,4,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,3,4,4,4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7926,7928,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46154615,4,5,3,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7927,7929,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46374637,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,3,3,4,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,4,5,5,4,4,3,5,5,4,5,3,3,2,2,4,4,3,4,4,4,4,2,5,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7928,7930,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,topgun08,4,3,4,5,3,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,NA,NA,NA,3,4,4,3,3,4,5,3,3,3,1,5,4,1,5,4,4,3,4,5,5,2,4,3,4,4,4,4,3,5,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7929,7931,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47404740,4,3,5,4,5,3,2,4,4,4,5,4,4,3,3,2,3,3,3,5,2,2,3,2,2,3,2,2,4,4,4,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,3,4,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7930,7932,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46124612,4,3,4,2,4,3,4,4,5,5,4,3,4,3,4,5,5,4,3,5,5,3,5,4,4,3,4,5,4,3,5,5,3,4,4,5,3,5,4,4,4,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
7932,7934,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46254625,4,5,5,5,4,3,4,4,5,5,5,4,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,5,4,5,4,2,4,4,4,4,4,4,4,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8009,8011,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46424642,4,3,4,4,5,3,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,5,5,5,5,2,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8010,8012,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2604046,4,2,5,2,3,2,4,4,5,5,4,5,5,4,5,4,5,3,4,2,4,4,3,4,3,5,4,3,5,3,4,5,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,2,5,5,3,3,2,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8011,8013,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,45194519,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,4,4,NA,NA,NA,NA,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8012,8014,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46804680,4,3,5,4,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,5,4,5,4,4,5,5,5,5,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,5,5,5,5,5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8013,8015,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,1110111,4,1,2,1,5,3,4,5,5,4,4,4,5,3,3,3,2,4,4,3,4,5,5,5,3,5,5,3,5,4,4,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,5,4,3,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8014,8016,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,47424742,4,5,5,5,4,3,3,5,5,5,3,5,3,1,1,4,4,4,5,1,1,1,1,1,3,3,1,1,2,1,3,5,1,1,5,4,4,3,1,5,4,5,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,Ireland,EN
8015,8017,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46134613,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,5,5,4,NA,NA,NA,NA,3,3,4,2,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,4,3,4,3,5,2,5,5,5,4,5,5,3,3,2,4,3,4,5,2,2,3,2,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8016,8018,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46544654,4,2,5,3,1,2,5,4,4,5,1,5,4,2,4,4,2,2,5,2,3,5,5,4,5,4,4,3,5,5,3,5,1,4,5,3,5,5,5,2,3,4,4,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
8017,8019,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,48664866,4,2,3,2,4,5,5,5,4,5,5,5,3,4,1,3,3,5,5,3,3,3,4,5,2,3,3,3,5,5,5,1,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,NA,3,1,3,1,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
8018,8020,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46094609,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,5,4,2,NA,NA,NA,NA,3,5,3,4,NA,NA,NA,NA,NA,NA,NA,5,3,4,3,4,5,4,3,4,3,4,1,4,5,5,4,4,3,5,3,4,1,2,4,4,5,4,5,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8019,8021,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49284928,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,3,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,5,4,5,3,4,3,4,4,3,2,5,3,3,4,3,4,4,4,4,2,1,3,1,5,5,4,5,5,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"French, Spanish, European, Chinese, Japanese...",EN
8020,8022,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49334933,4,3,3,4,3,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,NA,NA,NA,4,4,2,2,3,3,2,2,2,2,2,3,3,3,3,4,4,2,2,3,3,1,2,3,3,4,3,2,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,EN
8021,8023,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46334633,4,3,5,4,3,2,3,5,2,2,2,5,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,5,5,2,3,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,3,3,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8022,8024,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46364636,4,3,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,4,5,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8023,8025,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,46304630,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,5,5,4,5,4,4,4,3,4,3,4,4,5,4,4,3,3,3,5,3,5,3,4,3,4,3,3,5,3,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
8168,8170,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,49464946,4,2,5,5,NA,NA,NA,NA,NA,4,5,NA,5,4,4,5,5,NA,NA,NA,4,5,5,4,4,4,3,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN
8226,8228,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,477524752,4,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,5,1,3,4,3,5,2,4,NA,NA,NA,NA,NA,4,3,4,5,1,1,1,3,1,5,1,1,3,2,4,2,2,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN
8361,8363,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504076,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,4,4,4,4,5,4,4,4,3,5,3,5,4,3,5,5,5,5,4,4,2,4,4,5,5,4,5,4,4,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,British/ Scotish/ American,EN
8362,8364,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504014,5,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,3,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,5,4,5,4,4,5,5,5,4,4,4,5,5,5,5,5,4,4,5,3,3,2,5,5,4,4,4,4,1,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8363,8365,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504053,5,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,5,NA,NA,NA,NA,NA,NA,NA,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,4,3,3,2,4,4,3,4,3,2,5,4,4,4,3,2,2,2,3,5,5,1,2,3,2,2,2,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8364,8366,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504056,5,4,5,5,4,3,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,5,NA,NA,NA,4,NA,5,4,3,4,4,5,4,4,3,5,5,3,4,3,1,1,3,3,5,4,2,3,4,3,3,2,1,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8365,8367,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2403002,5,3,5,5,NA,NA,NA,NA,NA,5,4,4,4,NA,NA,NA,NA,4,4,4,3,4,3,4,2,3,3,3,4,5,4,5,NA,NA,NA,4,5,4,NA,5,4,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,EN
8366,8368,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,I don't know,5,5,4,5,4,2,4,3,4,4,4,4,5,1,3,4,4,1,3,2,4,3,1,3,4,4,4,5,4,5,5,5,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,4,3,3,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
8367,8369,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2507054,5,2,3,2,5,2,4,5,4,5,4,5,4,3,3,2,2,4,5,4,2,4,4,5,4,4,4,3,4,4,4,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,4,4,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8368,8370,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504055,5,2,4,1,3,2,2,3,4,2,2,3,3,2,4,3,2,3,3,4,4,4,4,4,3,4,4,4,4,3,3,5,1,2,2,4,4,2,2,3,4,4,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8369,8371,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2604074,5,3,5,4,2,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,3,3,2,3,3,2,5,4,4,4,4,5,4,3,5,2,2,2,3,4,5,2,4,4,3,4,2,4,5,3,1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8370,8372,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504039,5,3,4,5,3,5,4,5,4,5,4,4,5,2,3,4,4,2,3,3,1,4,2,3,3,3,2,2,4,5,3,5,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,5,4,3,5,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8371,8373,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504041,5,3,5,3,3,1,3,3,3,4,2,4,3,3,3,2,2,3,4,4,NA,4,3,4,3,4,4,3,3,3,3,1,2,5,3,4,3,2,2,4,3,3,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8372,8374,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504013,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,3,4,4,NA,NA,NA,NA,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,5,1,4,4,4,5,4,4,5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8373,8375,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504036,5,2,5,4,4,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,5,NA,NA,NA,4,2,3,2,1,1,1,3,2,3,2,4,4,4,5,3,1,3,2,3,3,4,2,2,3,2,1,3,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,EN
8374,8376,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2506016,5,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,3,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,4,3,5,3,4,3,1,2,2,2,5,5,5,5,3,1,1,3,2,3,3,4,2,4,3,1,4,2,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8375,8377,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504002096,5,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,5,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,4,5,4,4,5,4,5,5,4,5,4,4,3,5,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
8376,8378,EN,Winchester,NA,NA,NA,NA,NA,Ambrose Elementary School,2504073,5,3,5,5,5,4,4,3,5,5,4,3,4,3,3,5,4,4,4,4,1,2,3,2,4,5,1,5,5,5,4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,5,4,4,3,3,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,EN
