Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
-1.6799999999999997,1,a-vale-i1,2021-22,Barnstable-West Villages Elementary School,00200045,  92.6,  13.0,  58.7,  24.2,   2.6,  22.6
-5.2,1,a-vale-i1,2021-22,Barnstable-Barnstable United Elementary School,00200050,  91.7,  14.3,  63.5,  33.0,   5.6,  24.8
-0.9200000000000003,1,a-vale-i1,2021-22,Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,  92.6,  13.1,  47.6,  22.3,   9.2,   0.0
2.88,2.88,a-vale-i1,2021-22,Bedford-Bedford High,00230505,  94.5,   9.7,  38.0,  12.8,   2.8,   6.0
3.4,3.4,a-vale-i1,2021-22,Bedford-John Glenn Middle,00230305,  94.9,   9.0,  34.4,  11.5,   1.9,   2.7
4.4,4.4,a-vale-i1,2021-22,Bedford-Lt Job Lane School,00230012,  94.9,   9.1,  38.8,   9.0,   0.7,   0.5
1.8799999999999997,1.88,a-vale-i1,2021-22,Bedford-Lt Elezer Davis,00230010,  94.2,  10.1,  42.1,  15.3,   1.4,   0.5
-2.8,1,a-vale-i1,2021-22,Belchertown-Cold Spring,00240005,  91.5,  13.8,  65.5,  27.0,   4.9,  21.7
-0.6799999999999997,1,a-vale-i1,2021-22,Belchertown-Chestnut Hill Community School,00240006,  93.3,  11.9,  55.9,  21.7,   1.4,  26.4
-1.0400000000000005,1,a-vale-i1,2021-22,Belchertown-Swift River Elementary,00240018,  93.0,  12.3,  59.9,  22.6,   2.6,  10.0
-0.04000000000000057,1,a-vale-i1,2021-22,Belchertown-Jabish Middle School,00240025,  92.6,  13.2,  51.3,  20.1,   4.7,  29.7
-4.8,1,a-vale-i1,2021-22,Belchertown-Belchertown High,00240505,  90.8,  16.0,  58.9,  32.0,   9.7,  32.5
-17.6,1,a-vale-i1,2021-22,Bellingham-Keough Memorial Academy,00250510,  76.6,  34.5,  76.0,  64.0,  64.0,  56.0
1.6,1.6,a-vale-i1,2021-22,Bellingham-Bellingham Early Childhood Center,00250003,  93.8,  10.6,  37.0,  16.0,   2.0,  37.0
-0.7200000000000003,1,a-vale-i1,2021-22,Bellingham-Joseph F DiPietro Elementary School,00250020,  93.2,  11.4,  50.2,  21.8,   2.2,  25.2
-0.35999999999999943,1,a-vale-i1,2021-22,Bellingham-Stall Brook,00250025,  93.0,  11.9,  55.8,  20.9,   4.0,  29.7
-1.5200000000000002,1,a-vale-i1,2021-22,Bellingham-Bellingham Memorial School,00250315,  92.8,  12.6,  54.4,  23.8,   4.6,  47.1
-1.3599999999999994,1,a-vale-i1,2021-22,Bellingham-Bellingham High School,00250505,  92.3,  13.4,  56.1,  23.4,   6.3,  27.6
1.4400000000000006,1.44,a-vale-i1,2021-22,Belmont-Belmont High,00260505,  94.3,   9.8,  35.5,  16.4,   4.4,   7.8
4.88,4.88,a-vale-i1,2021-22,Belmont-Winthrop L Chenery Middle,00260305,  95.7,   7.5,  27.2,   7.8,   1.3,   5.4
4.0,4.0,a-vale-i1,2021-22,Belmont-Daniel Butler,00260015,  95.3,   8.3,  34.6,  10.0,   0.3,   6.7
3.44,3.44,a-vale-i1,2021-22,Belmont-Roger E Wellington,00260035,  95.1,   8.3,  34.3,  11.4,   1.0,   5.5
4.64,4.64,a-vale-i1,2021-22,Belmont-Mary Lee Burbank,00260010,  95.2,   8.4,  34.3,   8.4,   0.5,   3.5
4.4799999999999995,4.48,a-vale-i1,2021-22,Belmont-Winn Brook,00260005,  95.3,   8.2,  30.2,   8.8,   1.6,   7.8
-1.0400000000000005,1,a-vale-i1,2021-22,Benjamin Banneker Charter Public (District)-Benjamin Banneker Charter Public School,04200205,  93.2,  12.5,  53.3,  22.6,   1.8,  11.1
1.7200000000000002,1.72,a-vale-i1,2021-22,Benjamin Franklin Classical Charter Public (District)-Benjamin Franklin Classical Charter Public School,04470205,  93.7,  11.1,  52.2,  15.7,   1.3,  52.1
1.4400000000000006,1.44,a-vale-i1,2021-22,Berkley-Berkley Community School,00270010,  93.5,  11.5,  54.6,  16.4,   1.9,  34.7
0.6799999999999997,1,a-vale-i1,2021-22,Berkley-Berkley Middle School,00270305,  93.6,  11.3,  54.3,  18.3,   2.9,  47.9
-6.56,1,a-vale-i1,2021-22,Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,  89.6,  18.2,  65.2,  36.4,  12.1,  44.3
-3.28,1,a-vale-i1,2021-22,Berkshire Hills-Muddy Brook Regional Elementary School,06180035,  92.3,  13.5,  62.1,  28.2,   3.8,   0.0
-1.3599999999999994,1,a-vale-i1,2021-22,Berkshire Hills-W.E.B. Du Bois Regional Middle School,06180310,  92.8,  12.5,  54.4,  23.4,   4.1,   7.7
-10.559999999999999,1,a-vale-i1,2021-22,Berkshire Hills-Monument Mt Regional High,06180505,  86.6,  22.6,  69.8,  46.4,  19.1,  48.7
0.6,1,a-vale-i1,2021-22,Berlin-Boylston-Boylston Elementary School,06200010,  93.6,  10.6,  49.7,  18.5,   0.3,  43.9
-5.280000000000001,1,a-vale-i1,2021-22,Berlin-Boylston-Tahanto Regional High,06200505,  90.6,  16.6,  65.1,  33.2,   8.3,  11.9
-2.4400000000000004,1,a-vale-i1,2021-22,Berlin-Boylston-Berlin Memorial School,06200005,  92.8,  11.7,  58.0,  26.1,   3.5,  46.0
-0.9200000000000003,1,a-vale-i1,2021-22,Beverly-Beverly Middle School,00300305,  92.9,  12.5,  49.5,  22.3,   5.3,  36.9
3.4,3.4,a-vale-i1,2021-22,Beverly-Ayers/Ryal Side School,00300055,  94.5,   9.6,  41.9,  11.5,   1.8,   7.0
-14.040000000000001,1,a-vale-i1,2021-22,Beverly-McKeown School,00300002,  86.7,  21.2,  75.6,  55.1,  18.6,  75.0
-2.2400000000000007,1,a-vale-i1,2021-22,Beverly-Centerville Elementary,00300010,  92.9,  12.4,  57.8,  25.6,   2.7,   9.0
0.04000000000000057,1,a-vale-i1,2021-22,Beverly-Cove Elementary,00300015,  93.1,  12.0,  55.0,  19.9,   2.8,  10.8
-3.4,1,a-vale-i1,2021-22,Beverly-Beverly High,00300505,  90.9,  15.6,  50.4,  28.5,  11.4,  36.1
0.2,1,a-vale-i1,2021-22,Beverly-North Beverly Elementary,00300040,  93.3,  11.9,  52.8,  19.5,   3.4,  11.9
1.2,1.2,a-vale-i1,2021-22,Beverly-Hannah Elementary,00300033,  93.6,  11.5,  56.4,  17.0,   1.5,  19.3
1.0,1.0,a-vale-i1,2021-22,Billerica-Thomas Ditson,00310005,  93.6,  11.3,  53.4,  17.5,   1.7,  34.8
3.2399999999999998,3.24,a-vale-i1,2021-22,Billerica-Frederick J Dutile,00310007,  94.5,   9.6,  41.1,  11.9,   3.0,  20.0
2.3600000000000003,2.36,a-vale-i1,2021-22,Billerica-John F Kennedy,00310012,  93.6,  11.4,  58.1,  14.1,   1.3,  34.4
-2.4,1,a-vale-i1,2021-22,Billerica-Billerica Memorial High School,00310505,  92.1,  13.6,  51.5,  26.0,   7.4,  33.7
-0.15999999999999942,1,a-vale-i1,2021-22,Billerica-Hajjar Elementary,00310026,  93.4,  11.4,  50.9,  20.4,   1.8,  24.9
1.6,1.6,a-vale-i1,2021-22,Billerica-Marshall Middle School,00310305,  94.1,  10.3,  43.7,  16.0,   2.3,  19.6
0.2799999999999997,1,a-vale-i1,2021-22,Billerica-Locke Middle,00310310,  93.6,  11.4,  49.3,  19.3,   2.2,  22.3
-0.15999999999999942,1,a-vale-i1,2021-22,Billerica-Parker,00310015,  93.6,  11.0,  48.8,  20.4,   1.4,   6.3
3.12,3.12,a-vale-i1,2021-22,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,  94.5,  10.3,  43.7,  12.2,   2.3,   9.1
-7.919999999999999,1,a-vale-i1,2021-22,Blackstone-Millville-Millville Elementary,06220010,  90.6,  14.4,  64.7,  39.8,   7.4,  35.3
1.3599999999999994,1.36,a-vale-i1,2021-22,Blackstone-Millville-A F Maloney,06220015,  93.5,  11.5,  54.6,  16.6,   1.4,  22.0
-3.12,1,a-vale-i1,2021-22,Blackstone-Millville-Blackstone Millville RHS,06220505,  91.3,  15.0,  55.3,  27.8,   9.2,  22.5
1.1599999999999995,1.16,a-vale-i1,2021-22,Blackstone-Millville-John F Kennedy Elementary,06220008,  92.2,  13.6,  61.0,  17.1,   1.9,  19.0
-2.3200000000000003,1,a-vale-i1,2021-22,Blackstone-Millville-Frederick W. Hartnett Middle School,06220405,  91.8,  14.6,  59.0,  25.8,   6.6,  25.6
1.3599999999999994,1.36,a-vale-i1,2021-22,Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,  93.1,  12.3,  57.5,  16.6,   2.8,  47.4
-11.76,1,a-vale-i1,2021-22,Boston-Boston Arts Academy,00350546,  85.5,  25.2,  72.8,  49.4,  23.4,  56.6
-24.28,1,a-vale-i1,2021-22,Boston-Boston Adult Tech Academy,00350548,  64.1,  46.4,  82.4,  80.7,  61.9,  81.3
-15.680000000000001,1,a-vale-i1,2021-22,Boston-King K-8 School,00350376,  84.8,  26.0,  80.0,  59.2,  28.2,  73.2
-12.52,1,a-vale-i1,2021-22,Boston-Higginson-Lewis K-8 School,00350377,  86.9,  22.2,  79.0,  51.3,  22.6,  65.6
-2.3200000000000003,1,a-vale-i1,2021-22,Boston-Mildred Avenue K-8 School,00350378,  92.5,  12.6,  44.1,  25.8,   7.9,  40.8
-18.560000000000002,1,a-vale-i1,2021-22,Boston-Young Achievers K-8 School,00350380,  83.9,  27.0,  86.0,  66.4,  30.0,  77.2
-7.519999999999999,1,a-vale-i1,2021-22,Boston-Mission Hill K-8 School,00350382,  90.4,  16.8,  64.5,  38.8,  13.1,  43.5
-8.040000000000001,1,a-vale-i1,2021-22,Boston-Frederick Pilot Middle School,00350383,  89.0,  17.9,  60.9,  40.1,  14.1,  50.1
-15.4,1,a-vale-i1,2021-22,Boston-Blackstone Elementary School,00350390,  86.0,  23.2,  79.6,  58.5,  21.8,  61.9
