Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
NA,NA,a-curv-i4,2024-25,Brockton-Edison Evening Academy,00440520,          13,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Brockton-PROMISE College and Career Academy,00440525,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Brooke Charter School (District)-Brooke Charter School,04280305,           5,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Brookline-Brookline High,00460505,         573,         538,  93.9,   0.0,  91.8,  56.7,   7.3,  29.1,   2.4,  13.6,   0.0
NA,NA,a-curv-i4,2024-25,Burlington-Burlington High,00480505,         240,         186,  77.5,  42.9,  60.4,  34.6,  14.2,  35.8,   1.7,   3.3,   0.0
NA,NA,a-curv-i4,2024-25,Cambridge-Cambridge Rindge and Latin,00490506,         369,         310,  84.0,  40.7,  69.1,  41.2,   8.4,  47.2,   4.1,   8.7,   2.2
NA,NA,a-curv-i4,2024-25,Canton-Canton High,00500505,         300,         220,  73.3,  27.7,  61.3,  23.7,   1.0,  38.7,   1.0,   4.7,   0.0
NA,NA,a-curv-i4,2024-25,Cape Cod Regional Vocational Technical-Cape Cod Region Vocational Technical,08150605,         259,         252,  97.3,  16.6,  16.6,   0.0,   0.0,  15.4,   0.0,  95.0,  49.8
NA,NA,a-curv-i4,2024-25,Carver-Carver Middle/High School,00520405,         151,         110,  72.8,  13.2,  60.9,  16.6,  11.9,  18.5,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Central Berkshire-Wahconah Regional High,06350505,         211,         156,  73.9,  18.5,  63.0,  19.0,   0.9,  18.5,   5.2,   7.6,   0.0
NA,NA,a-curv-i4,2024-25,Chelmsford-Chelmsford High,00560505,         442,         434,  98.2,  83.5,  58.8,  61.3,   7.7,  81.7,  10.6,  69.0,   0.0
NA,NA,a-curv-i4,2024-25,Chelsea-Chelsea High,00570505,          45,          34,  75.6,  53.3,  42.2,  26.7,   4.4,  33.3,   4.4,  22.2,   0.0
NA,NA,a-curv-i4,2024-25,Chelsea-Chelsea Opportunity Academy,00570515,           2,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Chicopee-Chicopee Academy,00610021,          16,           1,   6.3,   0.0,   0.0,   0.0,   0.0,   6.3,   6.3,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Chicopee-Chicopee Comprehensive High School,00610510,         318,         189,  59.4,  12.9,  31.8,   7.5,   2.2,  15.7,   0.0,  29.2,   1.3
NA,NA,a-curv-i4,2024-25,Chicopee-Chicopee High,00610505,         149,         103,  69.1,  27.5,  42.3,  10.7,   5.4,  38.3,   0.0,  23.5,   0.0
NA,NA,a-curv-i4,2024-25,City on a Hill Charter Public School (District)-City on a Hill Charter Public School,04370505,           1,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Clinton-Clinton Senior High,00640505,         150,          80,  53.3,  24.0,  47.3,  17.3,   9.3,  11.3,   0.0,   3.3,   0.0
NA,NA,a-curv-i4,2024-25,Cohasset-Cohasset High School,00650505,         194,         175,  90.2,  75.8,  75.3,  20.6,   0.0,  44.3,   0.0,   3.6,   0.0
NA,NA,a-curv-i4,2024-25,Collegiate Charter School of Lowell (District)-Collegiate Charter School of Lowell,35030205,          25,          14,  56.0,  20.0,  36.0,  24.0,   0.0,  20.0,  12.0,  16.0,   0.0
NA,NA,a-curv-i4,2024-25,Community Charter School of Cambridge (District)-Community Charter School of Cambridge,04360305,           2,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Concord-Carlisle-Concord Carlisle High,06400505,         458,         359,  78.4,  10.0,  76.0,  27.3,   0.0,   0.4,   1.7,   5.2,   0.0
NA,NA,a-curv-i4,2024-25,Danvers-Danvers High,00710505,         286,         242,  84.6,  17.5,  61.2,  57.0,   6.6,  46.5,   6.6,   0.7,   0.0
NA,NA,a-curv-i4,2024-25,Dartmouth-Dartmouth High,00720505,         372,         275,  73.9,  26.3,  59.4,  20.2,   3.2,  26.6,   4.8,   3.2,   0.0
NA,NA,a-curv-i4,2024-25,Dedham-Dedham High,00730505,         251,         185,  73.7,  17.9,  62.9,  30.7,   6.8,  35.1,   2.8,   4.8,   0.0
NA,NA,a-curv-i4,2024-25,Dennis-Yarmouth-Dennis-Yarmouth Regional High,06450505,         206,         144,  69.9,  24.8,  48.5,  18.4,  11.2,  40.3,   4.4,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Dighton-Rehoboth-Dighton-Rehoboth Regional High School,06500505,         267,         152,  56.9,  20.2,  49.4,  11.6,   6.7,  18.7,   2.6,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Douglas-Douglas High School,00770505,         124,          68,  54.8,  21.8,  44.4,  36.3,   0.8,  27.4,   0.8,   4.0,   0.0
NA,NA,a-curv-i4,2024-25,Dover-Sherborn-Dover-Sherborn Regional High,06550505,         221,         209,  94.6,  40.7,  92.3,  41.6,   9.0,  57.0,   4.1,   4.5,   0.0
NA,NA,a-curv-i4,2024-25,Dracut-Dracut Senior High,00790505,         254,         161,  63.4,  23.6,  49.2,  20.5,   0.0,  11.8,   0.0,   6.3,   0.0
NA,NA,a-curv-i4,2024-25,Dudley-Charlton Reg-Shepherd Hill Regional High,06580505,         366,         238,  65.0,  17.8,  41.5,  42.9,   6.0,   7.9,   0.3,   0.3,   0.0
NA,NA,a-curv-i4,2024-25,Duxbury-Duxbury High,00820505,         394,         354,  89.8,  41.9,  82.0,  21.1,  20.3,  54.6,   2.5,   6.3,   0.0
NA,NA,a-curv-i4,2024-25,East Bridgewater-East Bridgewater JR./SR. High School,00830505,         212,         138,  65.1,  30.2,  54.2,  16.0,   4.2,   2.4,   2.4,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,East Longmeadow-East Longmeadow High,00870505,         279,         212,  76.0,  26.5,  64.5,  19.7,   5.7,  26.5,   0.0,   2.5,   0.0
NA,NA,a-curv-i4,2024-25,Easthampton-Easthampton High,00860505,         123,          77,  62.6,  55.3,  12.2,   4.9,   0.0,   9.8,   0.0,   8.9,   0.0
NA,NA,a-curv-i4,2024-25,Easton-Oliver Ames High,00880505,         407,         300,  73.7,  14.5,  61.9,  28.3,   1.5,  43.7,   1.0,   3.4,   0.0
NA,NA,a-curv-i4,2024-25,Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School (District)-Edward M. Kennedy Academy for Health Careers: A Horace Mann Charter Public School,04520505,           3,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Essex North Shore Agricultural and Technical School District-Essex North Shore Agricultural and Technical School,08170505,         660,         532,  80.6,   4.7,  50.9,  23.5,   0.0,  30.2,   0.0,   0.0,  53.6
NA,NA,a-curv-i4,2024-25,Everett-Devens School,00930030,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Everett-Everett High,00930505,         158,         117,  74.1,  22.2,  63.9,  13.9,   7.0,  16.5,   2.5,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Excel Academy Charter (District)-Excel Academy Charter School,04100205,          34,          34, 100.0,  67.6, 100.0,  41.2,   8.8,  61.8,   0.0,   5.9,   0.0
NA,NA,a-curv-i4,2024-25,Fairhaven-Fairhaven High,00940505,         231,         120,  51.9,  15.6,  45.5,  10.0,   0.0,  21.6,   1.3,   6.5,   0.0
