Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count,Student Count,Student to Nurse Ratio
7.541333333333333,5,a-phya-i1,2024-25,Ashland - William Pittaway Elementary,00140005,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,86,86.0
4.949333333333334,4.95,a-phya-i1,2024-25,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,          0.0,          0.0,          0.0,          0.0,          1.0,          1.0,          0.0,          2.0,1144,572.0
4.858666666666666,4.86,a-phya-i1,2024-25,Athol-Royalston - Athol Community Elementary School,06150020,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,589,589.0
0,1,a-phya-i1,2024-25,Athol-Royalston - Athol High,06150505,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,417
5.621333333333333,5,a-phya-i1,2024-25,Athol-Royalston - Athol-Royalston Middle School,06150305,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          1.0,446,446.0
7.189333333333333,5,a-phya-i1,2024-25,Athol-Royalston - Royalston Community School,06150050,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,152,152.0
5.784888888888889,5,a-phya-i1,2024-25,Atlantis Charter (District) - Atlantis Charter School,04910550,          1.0,          0.0,          2.0,          0.0,          0.0,          0.0,          0.0,          3.0,1246,415.3333333333333
0,1,a-phya-i1,2024-25,Attleboro - A. Irvin Studley Elementary School,00160001,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,372
0,1,a-phya-i1,2024-25,Attleboro - Attleboro Community Academy,00160515,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,64
4.992592592592592,4.99,a-phya-i1,2024-25,Attleboro - Attleboro High,00160505,          0.0,          0.0,          1.0,          2.0,          0.6,          0.0,          0.0,          3.6,2030,563.8888888888889
0,1,a-phya-i1,2024-25,Attleboro - Attleboro Virtual Academy,00160705,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,39
4.8053333333333335,4.81,a-phya-i1,2024-25,Attleboro - Cyril K. Brennan Middle School,00160315,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,599,599.0
0,1,a-phya-i1,2024-25,Attleboro - Early Learning Center,00160008,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,244
5.802666666666667,5,a-phya-i1,2024-25,Attleboro - Hill-Roberts Elementary School,00160045,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,412,412.0
5.482666666666667,5,a-phya-i1,2024-25,Attleboro - Hyman Fine Elementary School,00160040,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          1.0,472,472.0
7.110476190476191,5,a-phya-i1,2024-25,Attleboro - Peter Thacher Elementary School,00160050,          0.0,          0.8,          0.0,          0.0,          2.0,          0.0,          0.0,          2.8,467,166.7857142857143
5.448888888888889,5,a-phya-i1,2024-25,Attleboro - Robert J. Coelho Middle School,00160305,          0.0,          0.2,          1.0,          0.0,          0.0,          0.0,          0.0,          1.2,574,478.33333333333337
6.010666666666666,5,a-phya-i1,2024-25,Attleboro - Thomas Willett Elementary School,00160035,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          1.0,373,373.0
4.8373333333333335,4.84,a-phya-i1,2024-25,Attleboro - Wamsutta Middle School,00160320,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,593,593.0
6.325333333333333,5,a-phya-i1,2024-25,Auburn - Auburn Middle,00170305,          0.0,          0.4,          1.0,          0.0,          0.6,          0.0,          0.0,          2.0,628,314.0
3.552,3.55,a-phya-i1,2024-25,Auburn - Auburn Senior High,00170505,          0.0,          0.6,          0.0,          0.0,          0.4,          0.0,          0.0,          1.0,834,834.0
6.714666666666667,5,a-phya-i1,2024-25,Auburn - Bryn Mawr,00170010,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,241,241.0
6.672,5,a-phya-i1,2024-25,Auburn - Pakachoag School,00170025,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,249,249.0
5.045333333333334,5,a-phya-i1,2024-25,Auburn - Swanson Road Intermediate School,00170030,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,554,554.0
5.818666666666667,5,a-phya-i1,2024-25,Avon - Avon Middle High School,00180510,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,409,409.0
6.277333333333333,5,a-phya-i1,2024-25,Avon - Ralph D Butler,00180010,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,323,323.0
5.776,5,a-phya-i1,2024-25,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,417,417.0
5.8133333333333335,5,a-phya-i1,2024-25,Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          1.0,410,410.0
6.096,5,a-phya-i1,2024-25,Ayer Shirley School District - Lura A. White Elementary School,06160001,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,357,357.0
5.125333333333334,5,a-phya-i1,2024-25,Ayer Shirley School District - Page Hilltop Elementary School,06160002,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,539,539.0
6.697777777777778,5,a-phya-i1,2024-25,Barnstable - Barnstable Community Innovation School,00200012,          0.0,          0.0,          0.2,          0.0,          0.0,          1.0,          0.0,          1.2,293,244.16666666666669
5.063111111111112,5,a-phya-i1,2024-25,Barnstable - Barnstable High,00200505,          0.0,          0.0,          1.0,          0.0,          1.0,          1.0,          0.0,          3.0,1652,550.6666666666666
6.288,5,a-phya-i1,2024-25,Barnstable - Barnstable Intermediate School,00200315,          0.0,          0.0,          2.0,          0.0,          0.0,          0.0,          0.0,          2.0,642,321.0
5.461333333333333,5,a-phya-i1,2024-25,Barnstable - Barnstable United Elementary School,00200050,          0.0,          0.0,          0.0,          0.0,          1.5,          0.0,          0.0,          1.5,714,476.0
