Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade Nine Students,# Passing All Courses,% Passing All Courses
3.8400000000000003,3.84,a-ovpe-i1,2021-22,Leicester-Leicester High,01510505,          91,          83,  91.2
3.92,3.92,a-ovpe-i1,2021-22,Lenox-Lenox Memorial High,01520505,          58,          54,  93.1
3.2378947368421054,3.24,a-ovpe-i1,2021-22,Leominster-Center For Technical Education Innovation,01530605,         234,         180,  76.9
3.789473684210526,3.79,a-ovpe-i1,2021-22,Leominster-Leominster Center for Excellence,01530515,          10,           9,  90.0
3.557894736842105,3.56,a-ovpe-i1,2021-22,Leominster-Leominster High School,01530505,         187,         158,  84.5
4.189473684210526,4.19,a-ovpe-i1,2021-22,Lexington-Lexington High,01550505,         583,         580,  99.5
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Libertas Academy Charter School (District)-Libertas Academy Charter School,35140305,          72,          72, 100.0
4.046315789473684,4.05,a-ovpe-i1,2021-22,Lincoln-Sudbury-Lincoln-Sudbury Regional High,06950505,         388,         373,  96.1
4.067368421052631,4.07,a-ovpe-i1,2021-22,Littleton-Littleton High School,01580505,         118,         114,  96.6
4.138947368421053,4.14,a-ovpe-i1,2021-22,Longmeadow-Longmeadow High,01590505,         229,         225,  98.3
0.48000000000000004,1,a-ovpe-i1,2021-22,Lowell Middlesex Academy Charter (District)-Lowell Middlesex Academy Charter School,04580505,          35,           4,  11.4
NA,NA,a-ovpe-i1,2021-22,Lowell-Dr. Janice Adie Day School,01600605,           4,"",""
2.1052631578947367,2.11,a-ovpe-i1,2021-22,Lowell-Leblanc Therapeutic Day School,01600320,          12,           6,  50.0
1.9873684210526317,1.99,a-ovpe-i1,2021-22,Lowell-Lowell High,01600505,         973,         459,  47.2
NA,NA,a-ovpe-i1,2021-22,Lowell-The Career Academy,01600515,          11,           0,    .0
3.111578947368421,3.11,a-ovpe-i1,2021-22,Ludlow-Ludlow Senior High,01610505,         230,         170,  73.9
3.36,3.36,a-ovpe-i1,2021-22,Lunenburg-Lunenburg High,01620505,         109,          87,  79.8
2.9936842105263155,2.99,a-ovpe-i1,2021-22,Lynn-Classical High,01630505,         595,         423,  71.1
NA,NA,a-ovpe-i1,2021-22,Lynn-Fecteau-Leary Junior/Senior High School,01630525,           5,"",""
2.442105263157895,2.44,a-ovpe-i1,2021-22,Lynn-Lynn English High,01630510,         738,         428,  58.0
3.9073684210526314,3.91,a-ovpe-i1,2021-22,Lynn-Lynn Vocational Technical Institute,01630605,         276,         256,  92.8
4.092631578947368,4.09,a-ovpe-i1,2021-22,Lynnfield-Lynnfield High,01640505,         142,         138,  97.2
3.8105263157894735,3.81,a-ovpe-i1,2021-22,MATCH Charter Public School (District)-MATCH Charter Public School,04690505,          84,          76,  90.5
