Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
9.0,5,"",2022-23,9.0,Belmont - Mary Lee Burbank,00260010,   0.0,   0.0,   4.5,  90.9,   0.0,   0.0,   4.5,  86.4,  13.6,         22.0
1.0,1.0,"",2022-23,1.0,Belmont - Roger E Wellington,00260035,   0.0,   0.0,   1.0,  99.0,   0.0,   0.0,   0.0,  89.6,  10.4,         31.3
3.6,3.6,"",2022-23,3.6,Belmont - Winn Brook,00260005,   0.0,   0.0,   3.6,  96.4,   0.0,   0.0,   0.0,  91.1,   8.9,         22.4
18.5,5,"",2022-23,18.5,Belmont - Winthrop L Chenery Middle,00260305,   1.3,   7.9,   4.0,  81.5,   0.0,   0.0,   5.3,  73.6,  26.4,         75.9
62.599999999999994,5,"",2022-23,62.599999999999994,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,  56.3,   0.0,   6.3,  37.5,   0.0,   0.0,   0.0,  81.3,  18.8,         16.0
4.0,4.0,"",2022-23,4.0,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,   0.0,   2.0,   2.0,  95.9,   0.0,   0.0,   0.0,  83.2,  16.8,         49.3
3.1,3.1,"",2022-23,3.1,Berkley - Berkley Community School,00270010,   0.0,   0.0,   3.1,  96.9,   0.0,   0.0,   0.0,  96.9,   3.1,         32.8
0.0,1,"",2022-23,0.0,Berkley - Berkley Middle School,00270305,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  65.1,  34.9,         21.5
9.899999999999999,5,"",2022-23,9.899999999999999,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,   0.0,   0.0,   3.3,  90.2,   0.0,   0.0,   6.6,  69.4,  30.6,         30.5
9.2,5,"",2022-23,9.2,Berkshire Hills - Monument Mt Regional High,06180505,   0.0,   2.2,   4.2,  90.8,   0.0,   0.0,   2.8,  54.7,  45.3,         35.8
5.8,5,"",2022-23,5.8,Berkshire Hills - Muddy Brook Regional Elementary School,06180035,   0.0,   2.9,   2.9,  94.1,   0.0,   0.0,   0.0,  82.0,  18.0,         34.1
