Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
7.0,5,a-reso-i1,2022-23,Attleboro - Attleboro Virtual Academy,00160705,      70,   5.0,         48,  25.0,  75.0,   0.0,   6.3,37.5
3.7399999999999998,3.74,a-reso-i1,2022-23,Attleboro - Cyril K. Brennan Middle School,00160315,     281,  21.3,        642,  50.8,  49.1,   7.3,  17.9,46.6
5.4399999999999995,5,a-reso-i1,2022-23,Attleboro - Early Learning Center,00160008,      18,  12.8,        231,  36.8,  63.2,   0.0,  54.6,47.2
3.6799999999999997,3.68,a-reso-i1,2022-23,Attleboro - Hill-Roberts Elementary School,00160045,     175,  21.6,        412,  47.3,  52.7,  11.2,  14.3,43.5
3.38,3.38,a-reso-i1,2022-23,Attleboro - Hyman Fine Elementary School,00160040,     180,  23.1,        462,  50.2,  49.8,  14.9,  18.6,41.8
5.08,5,a-reso-i1,2022-23,Attleboro - Peter Thacher Elementary School,00160050,     272,  14.6,        443,  45.8,  54.0,   8.4,  24.2,50.8
3.46,3.46,a-reso-i1,2022-23,Attleboro - Robert J. Coelho Middle School,00160305,     254,  22.7,        587,  44.3,  55.5,   0.5,  15.7,35.6
3.1799999999999997,3.18,a-reso-i1,2022-23,Attleboro - Thomas Willett Elementary School,00160035,     140,  24.1,        377,  49.9,  50.1,  10.3,  21.8,42.7
3.62,3.62,a-reso-i1,2022-23,Attleboro - Wamsutta Middle School,00160320,     228,  21.9,        592,  50.2,  49.8,   3.4,  16.1,37.7
4.5200000000000005,4.52,a-reso-i1,2022-23,Auburn - Auburn Middle,00170305,     423,  17.4,        652,  47.9,  52.2,   2.3,  12.9,27.6
4.9399999999999995,4.94,a-reso-i1,2022-23,Auburn - Auburn Senior High,00170505,     656,  15.3,        860,  49.8,  49.8,   1.5,  11.5,28.8
4.24,4.24,a-reso-i1,2022-23,Auburn - Bryn Mawr,00170010,     112,  18.8,        264,  44.7,  55.3,   4.2,  14.8,39.4
4.54,4.54,a-reso-i1,2022-23,Auburn - Pakachoag School,00170025,     112,  17.3,        242,  47.9,  52.1,   1.7,  16.1,25.2
