Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
NA,NA,a-phys-i1,2021-22,Bellingham - Keough Memorial Academy,00250510,      29,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Bellingham - Stall Brook,00250025,     250,       0,"","","","","","",""
7.089184060721063,5,a-phys-i1,2021-22,Belmont - Belmont High,00260505,"   1,362",      18,   0.3,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Belmont - Daniel Butler,00260015,     344,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Belmont - Mary Lee Burbank,00260010,     369,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Belmont - Roger E Wellington,00260035,     601,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Belmont - Winn Brook,00260005,     436,       0,"","","","","","",""
7.165085388994307,5,a-phys-i1,2021-22,Belmont - Winthrop L Chenery Middle,00260305,"   1,399",      17,   0.1,   1.1,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,     344,       0,"","","","","","",""
7.468690702087287,5,a-phys-i1,2021-22,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,     827,      10,   0.6,   0.7,   0.0,   0.0,   0.2,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Berkley - Berkley Community School,00270010,     481,       1,"","","","","","",""
5.191650853889943,5,a-phys-i1,2021-22,Berkley - Berkley Middle School,00270305,     410,      18,   1.5,   3.7,   0.0,   0.0,   0.0,   0.0,   0.0
3.6736242884250467,3.67,a-phys-i1,2021-22,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,     388,      30,   3.1,   5.7,   0.0,   0.0,   0.0,   0.0,   0.0
6.557874762808349,5,a-phys-i1,2021-22,Berkshire Hills - Monument Mt Regional High,06180505,     528,      12,   0.9,   1.9,   0.0,   0.0,   0.0,   0.2,   0.0
NA,NA,a-phys-i1,2021-22,Berkshire Hills - Muddy Brook Regional Elementary School,06180035,     342,       0,"","","","","","",""
6.937381404174572,5,a-phys-i1,2021-22,Berkshire Hills - W.E.B. Du Bois Regional Middle School,06180310,     367,      13,   3.0,   1.4,   0.0,   0.0,   0.0,   0.0,   0.0
