Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total
4.992,4.99,a-cgpr-i1,2016-17,Dennis-Yarmouth - Dennis-Yarmouth Regional High,06450505,  22.9,  25.5,   0.0,  36.9,   0.0,"",   8.3,   3.2,   1.9,   1.3,     157
5.1626666666666665,5,a-cgpr-i1,2016-17,Dighton-Rehoboth - Dighton-Rehoboth Regional High School,06500505,  29.4,  40.7,   0.0,  13.6,   1.4,"",  11.7,   3.3,   0.0,   0.0,     214
5.274666666666667,5,a-cgpr-i1,2016-17,Douglas - Douglas High School,00770505,  34.4,  44.8,   0.0,  13.5,   1.0,"",   5.2,   1.0,   0.0,   0.0,      96
5.199999999999999,5,a-cgpr-i1,2016-17,Dover-Sherborn - Dover-Sherborn Regional High,06550505,  64.6,  29.1,   0.0,   2.5,   0.0,"",   1.3,   0.0,   1.3,   1.3,     158
5.1626666666666665,5,a-cgpr-i1,2016-17,Dracut - Dracut Senior High,00790505,  23.8,  28.6,   0.5,  34.1,   2.2,"",   7.6,   1.6,   0.0,   1.6,     185
5.152,5,a-cgpr-i1,2016-17,Dudley-Charlton Reg - Shepherd Hill Regional High,06580505,  37.5,  28.9,   0.3,  15.8,   1.7,"",  12.4,   3.1,   0.3,   0.0,     291
4.858666666666666,4.86,a-cgpr-i1,2016-17,Duxbury - Duxbury High,00820505,  54.8,  34.8,   0.4,   1.1,   0.0,"",   0.0,   0.0,   0.0,   8.9,     270
4.970666666666666,4.97,a-cgpr-i1,2016-17,East Bridgewater - East Bridgewater JR./SR. High School,00830505,  28.4,  40.9,   0.0,  12.5,   2.3,"",   9.1,   6.3,   0.0,   0.6,     176
5.04,5,a-cgpr-i1,2016-17,East Longmeadow - East Longmeadow High,00870505,  39.1,  20.0,   0.5,  27.9,   2.8,"",   4.2,   2.8,   2.8,   0.0,     215
5.072,5,a-cgpr-i1,2016-17,Easthampton - Easthampton High,00860505,  20.6,  12.7,   0.0,  48.0,   2.0,"",  11.8,   3.9,   0.0,   1.0,     102
5.162666666666667,5,a-cgpr-i1,2016-17,Easton - Oliver Ames High,00880505,  43.3,  42.6,   0.3,   6.5,   2.4,"",   1.7,   1.0,   1.0,   1.0,     291
5.338666666666668,5,a-cgpr-i1,2016-17,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District) - Edward M. Kennedy Academy for Health Careers (Horace Mann Charter School),04520505,   8.1,  60.5,   1.2,  29.1,   1.2,"",   0.0,   0.0,   0.0,   0.0,      86
5.189333333333334,5,a-cgpr-i1,2016-17,Essex North Shore Agricultural and Technical School District - Essex Technical High School,08170505,  25.4,  24.6,   1.2,  15.9,   0.0,"",  30.2,   1.2,   0.8,   0.8,     252
0.0,1,a-cgpr-i1,2016-17,Everett - Devens School,00930030,"","","","","","","","","","",       4
4.453333333333332,4.45,a-cgpr-i1,2016-17,Everett - Everett High,00930505,  21.9,  21.7,   1.8,  28.9,   0.9,"",   8.3,   2.0,   0.0,  14.7,     457
5.152,5,a-cgpr-i1,2016-17,Fairhaven - Fairhaven High,00940505,  13.0,  44.5,   1.4,  24.0,   0.7,"",  13.0,   2.1,   0.0,   1.4,     146
5.109333333333333,5,a-cgpr-i1,2016-17,Fall River - B M C Durfee High,00950505,  11.7,  19.9,   2.7,  50.7,   0.2,"",  10.6,   2.9,   0.9,   0.4,     452
4.335999999999999,4.34,a-cgpr-i1,2016-17,Fall River - Fall River Gateway to College @ BCC,00950515,   0.0,  12.5,   0.0,  56.3,   0.0,"",  12.5,   0.0,   0.0,  18.8,      16
4.346666666666667,4.35,a-cgpr-i1,2016-17,Fall River - Resiliency Preparatory School,00950325,   0.0,   0.0,   2.6,  42.1,  10.5,"",  26.3,   5.3,   5.3,   7.9,      38
4.906666666666666,4.91,a-cgpr-i1,2016-17,Falmouth - Falmouth High,00960505,  33.6,  30.5,   0.0,  20.4,   3.5,"",   4.0,   2.2,   0.0,   5.8,     226
4.768000000000001,4.77,a-cgpr-i1,2016-17,Fitchburg - Fitchburg High,00970505,  14.7,  29.8,   0.0,  36.2,   3.2,"",   5.5,   8.7,   0.0,   1.8,     218
3.9039999999999995,3.9,a-cgpr-i1,2016-17,Fitchburg - Goodrich Academy,00970510,   0.0,   0.0,   0.0,  32.3,   4.3,"",  36.6,   5.4,   5.4,  16.1,      93
5.007999999999999,5,a-cgpr-i1,2016-17,Four Rivers Charter Public (District) - Four Rivers Charter Public School,04130505,  51.5,  21.2,   0.0,  12.1,   6.1,"",   3.0,   3.0,   3.0,   0.0,      33
5.189333333333333,5,a-cgpr-i1,2016-17,Foxborough - Foxborough High,00990505,  35.7,  41.8,   0.0,   8.5,   2.8,"",   8.5,   2.8,   0.0,   0.0,     213
5.157333333333333,5,a-cgpr-i1,2016-17,Foxborough Regional Charter (District) - Foxborough Regional Charter School,04460550,  54.1,  27.9,   1.6,  11.5,   1.6,"",   0.0,   0.0,   1.6,   1.6,      61
4.906666666666666,4.91,a-cgpr-i1,2016-17,Framingham - Framingham High School,01000515,  24.0,  41.3,   0.2,  18.7,   2.1,"",   5.7,   3.1,   1.2,   3.7,     487
5.333333333333333,5,a-cgpr-i1,2016-17,Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,04780505,  45.9,  44.3,   0.0,   4.9,   0.0,"",   4.9,   0.0,   0.0,   0.0,      61
5.162666666666666,5,a-cgpr-i1,2016-17,Franklin - Franklin High,01010505,  48.9,  36.8,   0.0,   7.6,   1.0,"",   2.5,   0.8,   1.3,   1.3,     397
4.48,4.48,a-cgpr-i1,2016-17,Franklin County Regional Vocational Technical - Franklin County Technical,08180605,   3.6,   2.7,   0.9,  35.7,   5.4,"",  35.7,   1.8,   0.0,  14.3,     112
5.231999999999999,5,a-cgpr-i1,2016-17,Freetown-Lakeville - Apponequet Regional High,06650505,  28.6,  35.1,   0.0,  26.0,   1.3,"",   7.1,   1.9,   0.0,   0.0,     154
5.072,5,a-cgpr-i1,2016-17,Frontier - Frontier Regional,06700505,  31.3,  27.7,   0.0,  26.5,   2.4,"",   7.2,   0.0,   1.2,   3.6,      83
0.0,1,a-cgpr-i1,2016-17,Gardner - Gardner Academy for Learning and Technology,01030515,   0.0,   0.0,   0.0,   0.0,   0.0,"",   0.0,   0.0,   0.0, 100.0,      19
4.954666666666666,4.95,a-cgpr-i1,2016-17,Gardner - Gardner High,01030505,  16.1,  23.2,   0.0,  50.9,   0.0,"",   2.7,   4.5,   2.7,   0.0,     112
4.8213333333333335,4.82,a-cgpr-i1,2016-17,Gateway - Gateway Regional High,06720505,  25.0,  21.2,   0.0,  15.4,   3.8,"",  25.0,   9.6,   0.0,   0.0,      52
5.029333333333333,5,a-cgpr-i1,2016-17,Georgetown - Georgetown High School,01050505,  33.7,  48.3,   2.2,   5.6,   0.0,"",   4.5,   0.0,   2.2,   3.4,      89
5.056,5,a-cgpr-i1,2016-17,Gill-Montague - Turners Fall High,06740505,  15.8,  19.3,   0.0,  50.9,   1.8,"",   7.0,   1.8,   0.0,   3.5,      57
