Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,"Multi-Race, Not Hispanic or Latino",Native Hawaiian or Other Pacific Islander,White,Female,Male,Nonbinary
NA,NA,"",2024-25,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,   0.5,   3.4,   8.9,  15.6,   2.9,   0.2,  68.6,  46.0,  54.0,   0.0
NA,NA,"",2024-25,Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,   0.5,   2.2,   7.1,  15.1,   5.1,   0.2,  69.8,  43.9,  56.1,   0.0
NA,NA,"",2024-25,Ayer Shirley School District - Lura A. White Elementary School,06160001,   1.7,   3.4,   7.0,  11.2,   3.6,   0.0,  73.1,  49.3,  50.7,   0.0
NA,NA,"",2024-25,Ayer Shirley School District - Page Hilltop Elementary School,06160002,   0.4,   7.1,   8.2,  17.6,   6.3,   0.0,  60.5,  46.0,  54.0,   0.0
NA,NA,"",2024-25,Barnstable - Barnstable Community Innovation School,00200012,   0.3,   2.4,  10.9,  53.2,   6.5,   0.3,  26.3,  50.2,  49.8,   0.0
NA,NA,"",2024-25,Barnstable - Barnstable High,00200505,   0.7,   1.9,  11.0,  32.9,   5.2,   0.2,  48.2,  48.5,  51.0,   0.4
NA,NA,"",2024-25,Barnstable - Barnstable Intermediate School,00200315,   0.2,   2.3,  10.7,  31.0,   9.2,   0.0,  46.6,  47.2,  52.6,   0.2
NA,NA,"",2024-25,Barnstable - Barnstable United Elementary School,00200050,   0.6,   1.1,  10.1,  30.3,  10.4,   0.0,  47.6,  48.2,  51.7,   0.1
NA,NA,"",2024-25,Barnstable - Centerville Elementary,00200010,   0.4,   1.9,   5.6,  18.4,   6.4,   0.0,  67.4,  40.1,  59.9,   0.0
NA,NA,"",2024-25,Barnstable - Enoch Cobb Early Learning Center,00200001,   0.0,   6.0,  10.7,  46.7,   8.0,   0.0,  28.7,  38.0,  61.3,   0.7
NA,NA,"",2024-25,Barnstable - Hyannis West Elementary,00200025,   0.3,   2.6,  12.9,  55.7,   7.8,   0.0,  20.7,  51.8,  47.9,   0.3
NA,NA,"",2024-25,Barnstable - West Barnstable Elementary,00200005,   0.0,   3.8,   5.9,  20.3,  11.4,   0.0,  58.6,  46.4,  53.6,   0.0
NA,NA,"",2024-25,Barnstable - West Villages Elementary School,00200045,   0.2,   1.9,   3.1,  19.5,   8.7,   0.2,  66.3,  46.2,  53.8,   0.0
NA,NA,"",2024-25,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,   0.0,   0.8,  25.3,  66.5,   1.0,   0.5,   5.9,  53.1,  46.9,   0.0
NA,NA,"",2024-25,Bedford - Bedford High,00230505,   0.0,  18.4,   7.3,   9.4,   4.7,   0.1,  60.0,  49.0,  50.9,   0.1
NA,NA,"",2024-25,Bedford - John Glenn Middle,00230305,   0.0,  22.2,   7.8,   6.5,   7.8,   0.0,  55.8,  50.0,  50.0,   0.0
NA,NA,"",2024-25,Bedford - Lt Eleazer Davis,00230010,   0.0,  20.4,   8.8,   6.4,  12.4,   0.0,  52.1,  47.3,  52.7,   0.0
NA,NA,"",2024-25,Bedford - Lt Job Lane School,00230012,   0.0,  25.4,   6.3,   7.2,   7.6,   0.2,  53.3,  46.1,  53.9,   0.0
NA,NA,"",2024-25,Belchertown - Belchertown High,00240505,   0.0,   1.6,   2.3,   7.7,   3.8,   0.2,  84.5,  48.2,  51.3,   0.5
NA,NA,"",2024-25,Belchertown - Chestnut Hill Community School,00240006,   0.0,   0.8,   0.6,  11.7,   4.3,   0.0,  82.6,  47.8,  52.2,   0.0
NA,NA,"",2024-25,Belchertown - Cold Spring,00240005,   0.0,   3.2,   2.7,  11.7,   2.7,   0.0,  79.8,  45.2,  54.8,   0.0
NA,NA,"",2024-25,Belchertown - Jabish Middle School,00240025,   0.3,   1.2,   1.5,   7.6,   4.4,   0.0,  85.1,  51.9,  48.1,   0.0
NA,NA,"",2024-25,Belchertown - Swift River Elementary,00240018,   0.4,   2.0,   1.1,  10.6,   5.6,   0.0,  80.2,  51.5,  48.3,   0.2
NA,NA,"",2024-25,Bellingham - Bellingham High School,00250505,   0.4,   3.4,   2.3,  12.2,   2.4,   0.3,  79.1,  48.9,  51.1,   0.0
NA,NA,"",2024-25,Bellingham - Bellingham Memorial School,00250315,   0.3,   2.7,   3.6,  17.7,   3.9,   0.7,  71.0,  50.7,  49.3,   0.0
NA,NA,"",2024-25,Bellingham - Joseph F DiPietro Elementary School,00250020,   0.8,   5.2,   3.4,  20.0,   3.4,   0.0,  67.3,  49.1,  50.9,   0.0
NA,NA,"",2024-25,Bellingham - Keough Memorial Academy,00250510,   0.0,   0.0,   0.0,  13.8,   0.0,   0.0,  86.2,  65.5,  34.5,   0.0
NA,NA,"",2024-25,Bellingham - Stall Brook,00250025,   0.0,   2.9,   3.6,  21.8,   5.0,   0.0,  66.8,  46.1,  53.9,   0.0
NA,NA,"",2024-25,Belmont - Belmont High,00260505,   0.1,  23.2,   4.1,   5.7,   7.8,   0.1,  58.9,  49.2,  50.0,   0.8
NA,NA,"",2024-25,Belmont - Belmont Middle School,00260315,   0.0,  24.1,   3.5,   4.0,   8.8,   0.1,  59.4,  46.9,  52.4,   0.7
NA,NA,"",2024-25,Belmont - Daniel Butler,00260015,   0.4,  31.0,   2.7,  11.1,  11.9,   0.0,  42.9,  47.5,  52.5,   0.0
NA,NA,"",2024-25,Belmont - Mary Lee Burbank,00260010,   0.0,  30.7,   3.8,   4.2,   4.2,   0.0,  57.1,  52.9,  46.2,   0.8
NA,NA,"",2024-25,Belmont - Roger E Wellington,00260035,   0.0,  17.8,   7.7,   7.0,   9.4,   0.0,  58.0,  48.4,  50.9,   0.7
NA,NA,"",2024-25,Belmont - Winn Brook,00260005,   0.0,  30.9,   5.3,   5.6,   7.9,   0.0,  50.3,  51.0,  48.7,   0.3
NA,NA,"",2024-25,Belmont - Winthrop L Chenery Upper Elementary,00260305,   0.0,  25.0,   3.6,   5.6,   8.9,   0.0,  56.9,  50.7,  48.7,   0.6
NA,NA,"",2024-25,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,   0.0,   3.1,  84.1,   6.5,   3.7,   0.0,   2.6,  52.0,  47.7,   0.3
NA,NA,"",2024-25,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,   1.4,  23.9,   3.0,   7.5,   5.0,   0.7,  58.5,  51.0,  48.8,   0.2
NA,NA,"",2024-25,Berkley - Berkley Community School,00270010,   0.0,   0.4,   1.7,   5.4,   5.9,   0.0,  86.5,  49.0,  51.0,   0.0
NA,NA,"",2024-25,Berkley - Berkley Middle School,00270305,   0.3,   0.8,   0.8,   2.1,   4.0,   0.3,  91.7,  50.3,  49.5,   0.3
NA,NA,"",2024-25,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,   0.0,   0.5,   9.1,  17.0,   6.0,   0.0,  67.3,  51.4,  45.6,   3.0
NA,NA,"",2024-25,Berkshire Hills - Monument Mt Regional High,06180505,   0.0,   2.1,   1.4,  16.7,   3.5,   0.2,  76.1,  42.9,  56.1,   0.9
