Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
4.51,4.51,a-degr-i1,2021-22,Franklin County Regional Vocational Technical - Franklin County Technical,08180605,       123,    90.2,     2.4,     0.0,     0.0,     7.3,     0.0
4.9350000000000005,4.94,a-degr-i1,2021-22,Freetown-Lakeville - Apponequet Regional High,06650505,       149,    98.7,     0.7,     0.7,     0.0,     0.0,     0.0
4.455,4.46,a-degr-i1,2021-22,Frontier - Frontier Regional,06700505,       101,    89.1,     5.9,     0.0,     0.0,     5.0,     0.0
2.95,2.95,a-degr-i1,2021-22,Gardner - Gardner Academy for Learning and Technology,01030515,        61,    59.0,    31.1,     0.0,     0.0,     9.8,     0.0
4.5649999999999995,4.56,a-degr-i1,2021-22,Gardner - Gardner High,01030505,       126,    91.3,     3.2,     0.8,     0.8,     4.0,     0.0
4.775,4.78,a-degr-i1,2021-22,Gateway - Gateway Regional High,06720505,        44,    95.5,     0.0,     0.0,     0.0,     4.5,     0.0
4.84,4.84,a-degr-i1,2021-22,Georgetown - Georgetown High School,01050505,        93,    96.8,     0.0,     1.1,     1.1,     1.1,     0.0
3.72,3.72,a-degr-i1,2021-22,Gill-Montague - Turners Fall High,06740505,        43,    74.4,     2.3,     0.0,     0.0,    23.3,     0.0
4.6899999999999995,4.69,a-degr-i1,2021-22,Global Learning Charter Public (District) - Global Learning Charter Public School,04960305,        32,    93.8,     0.0,     0.0,     0.0,     6.3,     0.0
4.295,4.3,a-degr-i1,2021-22,Gloucester - Gloucester High,01070505,       220,    85.9,     5.9,     0.5,     0.5,     7.3,     0.0
4.7700000000000005,4.77,a-degr-i1,2021-22,Grafton - Grafton High School,01100505,       237,    95.4,     3.0,     0.0,     0.8,     0.8,     0.0
4.845000000000001,4.85,a-degr-i1,2021-22,Granby - Granby Jr Sr High School,01110505,        65,    96.9,     1.5,     0.0,     1.5,     0.0,     0.0
2.4699999999999998,2.47,a-degr-i1,2021-22,Greater Commonwealth Virtual District - Greater Commonwealth Virtual School,39010900,       166,    49.4,    14.5,     0.6,     4.2,    31.3,     0.0
4.875,4.88,a-degr-i1,2021-22,Greater Fall River Regional Vocational Technical - Diman Regional Vocational Technical High,08210605,       353,    97.5,     0.8,     0.0,     0.0,     1.7,     0.0
4.91,4.91,a-degr-i1,2021-22,Greater Lawrence Regional Vocational Technical - Gr Lawrence Regional Vocational Technical,08230605,       385,    98.2,     0.3,     0.0,     0.0,     1.6,     0.0
4.8,4.8,a-degr-i1,2021-22,Greater Lowell Regional Vocational Technical - Gr Lowell Regional Vocational Technical,08280605,       530,    96.0,     1.9,     0.6,     0.2,     1.3,     0.0
4.835,4.84,a-degr-i1,2021-22,Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,08250605,       490,    96.7,     0.8,     0.0,     0.0,     2.4,     0.0
4.39,4.39,a-degr-i1,2021-22,Greenfield - Greenfield High,01140505,       115,    87.8,     2.6,     0.0,     0.9,     8.7,     0.0
4.8950000000000005,4.9,a-degr-i1,2021-22,Groton-Dunstable - Groton Dunstable Regional,06730505,       190,    97.9,     1.6,     0.0,     0.5,     0.0,     0.0
4.865,4.87,a-degr-i1,2021-22,Hadley - Hopkins Academy,01170505,        37,    97.3,     0.0,     0.0,     0.0,     2.7,     0.0
4.845000000000001,4.85,a-degr-i1,2021-22,Hamilton-Wenham - Hamilton-Wenham Regional High,06750505,       131,    96.9,     0.0,     0.0,     0.0,     3.1,     0.0
4.904999999999999,4.9,a-degr-i1,2021-22,Hampden Charter School of Science East (District) - Hampden Charter School of Science East,04990305,        54,    98.1,     1.9,     0.0,     0.0,     0.0,     0.0
4.335,4.34,a-degr-i1,2021-22,Hampden Charter School of Science West (District) - Hampden Charter School of Science West,35160305,        30,    86.7,     6.7,     0.0,     0.0,     6.7,     0.0
4.825,4.83,a-degr-i1,2021-22,Hampden-Wilbraham - Minnechaug Regional High,06800505,       287,    96.5,     1.0,     0.0,     0.3,     2.1,     0.0
4.745,4.75,a-degr-i1,2021-22,Hampshire - Hampshire Regional High,06830505,       137,    94.9,     2.2,     0.0,     0.7,     2.2,     0.0
4.89,4.89,a-degr-i1,2021-22,Hanover - Hanover High,01220505,       182,    97.8,     1.6,     0.0,     0.0,     0.5,     0.0
4.945,4.95,a-degr-i1,2021-22,Harvard - Bromfield,01250505,        91,    98.9,     0.0,     1.1,     0.0,     0.0,     0.0
4.76,4.76,a-degr-i1,2021-22,Hatfield - Smith Academy,01270505,        42,    95.2,     0.0,     2.4,     0.0,     2.4,     0.0
2.725,2.73,a-degr-i1,2021-22,Haverhill - Crowell,01280515,        11,    54.5,    27.3,     0.0,     0.0,    18.2,     0.0
0.5549999999999999,1,a-degr-i1,2021-22,Haverhill - Greenleaf Academy,01280033,         9,    11.1,    11.1,     0.0,     0.0,    77.8,     0.0
4.245,4.25,a-degr-i1,2021-22,Haverhill - Haverhill High,01280505,       418,    84.9,     6.2,     0.0,     0.7,     8.1,     0.0
4.89,4.89,a-degr-i1,2021-22,Hingham - Hingham High,01310505,       314,    97.8,     1.6,     0.0,     0.3,     0.3,     0.0
4.404999999999999,4.4,a-degr-i1,2021-22,Holbrook - Holbrook Middle High School,01330505,        59,    88.1,     5.1,     0.0,     0.0,     6.8,     0.0
4.835,4.84,a-degr-i1,2021-22,Holliston - Holliston High,01360505,       214,    96.7,     0.9,     0.5,     0.0,     1.9,     0.0
3.75,3.75,a-degr-i1,2021-22,Holyoke - Holyoke High,01370505,       396,    75.0,    10.1,     1.8,     0.0,    13.1,     0.0
4.235,4.24,a-degr-i1,2021-22,Hoosac Valley Regional - Hoosac Valley High School,06030505,        72,    84.7,     1.4,     4.2,     1.4,     8.3,     0.0
4.8149999999999995,4.81,a-degr-i1,2021-22,Hopedale - Hopedale Jr Sr High,01380505,        82,    96.3,     0.0,     2.4,     0.0,     1.2,     0.0
4.93,4.93,a-degr-i1,2021-22,Hopkinton - Hopkinton High,01390505,       295,    98.6,     0.7,     0.0,     0.0,     0.7,     0.0
4.42,4.42,a-degr-i1,2021-22,Hudson - Hudson High,01410505,       164,    88.4,     4.3,     0.0,     0.6,     6.7,     0.0
