RecordedDate,ResponseId,UserLanguage,District,school,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,t-curv-q1,t-curv-q3,t-curv-q2,t-curv-q4,t-sach-q1,t-sach-q2,t-sach-q3,Q88,Duration
2021-06-16T12:46:00,R_29UEDa77RIfYpfr,EN,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,NA,NA,NA,NA,NA,NA,4,4,5,NA,NA,NA,NA,4,4,3,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,4,5,4,5,3,2,2,NA,NA,3,4,NA,NA,NA,NA,3,3,1,4,351
2021-06-16T12:18:00,R_2Yc6EAh4XTk59Kk,EN,6,2,5,5,5,5,4,4,4,2,4,4,4,4,5,4,5,5,5,1,5,4,3,4,3,4,2,4,4,5,5,4,4,4,4,4,4,4,4,5,5,5,5,3,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,5,4,5,4,5,4,5,4,5,5,4,4,1,427
2021-06-16T11:18:00,R_2V7n9I5nFflycA6,EN,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,92466
2021-06-16T10:30:00,R_3IQQoXuMcx23xr3,EN,4,7,5,5,5,3,3,5,4,1,4,4,4,4,2,2,3,2,4,2,3,5,5,5,5,5,4,4,3,4,3,3,4,4,3,2,3,3,4,3,4,5,4,3,3,2,2,2,3,4,4,1,1,1,3,2,1,2,3,3,3,1,4,3,5,3,4,4,4,4,3,2,1,708
2021-06-15T20:37:00,R_1dal0v28sCqg41X,EN,6,3,5,4,5,4,4,5,4,1,5,4,5,4,3,4,3,4,4,1,4,1,2,2,1,1,2,3,3,4,4,3,4,4,3,4,2,3,3,4,2,4,3,1,1,1,4,3,3,3,NA,2,2,1,4,4,5,5,3,3,4,2,2,4,4,4,5,4,4,4,4,NA,3,891
2021-06-15T19:00:00,R_yQIvVSllJHecxFv,EN,6,4,5,4,5,4,4,4,4,1,4,4,4,5,2,2,2,2,4,3,5,5,5,5,4,4,3,4,4,5,5,4,5,5,4,4,3,5,4,4,2,4,4,4,4,4,4,3,4,3,5,4,4,2,2,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,1,849
2021-06-15T17:27:00,R_3HAJBeBzb65j8ms,EN,6,2,4,4,4,4,3,5,2,3,4,4,4,3,2,4,4,3,5,2,4,1,1,1,2,3,1,3,4,4,4,4,4,4,3,2,2,3,4,4,2,5,4,2,4,4,4,3,5,3,5,5,5,2,4,3,3,4,3,4,4,2,3,4,4,4,4,4,4,4,3,3,2,753
2021-06-15T16:30:00,R_2Bxp8psy5sJip9t,EN,6,3,5,4,4,5,4,5,4,1,4,4,4,4,3,3,3,2,4,3,3,3,1,2,1,1,1,5,5,4,5,5,5,5,4,3,3,3,3,2,2,4,5,3,3,3,3,3,3,4,5,3,3,4,4,4,3,5,3,3,3,4,4,5,5,4,4,4,4,4,3,2,2,1096
2021-06-15T15:30:00,R_50cnbN4LuzsFOaB,EN,6,4,5,4,5,3,3,5,3,2,4,4,3,4,2,3,3,3,3,4,3,2,2,3,2,3,2,4,4,3,4,4,4,4,3,4,2,3,3,4,2,4,5,2,1,2,4,4,4,5,5,3,2,2,2,3,2,3,3,4,4,3,3,4,4,4,4,3,4,4,3,3,2,430
2021-06-15T15:21:00,R_4YLt7nniDkXtqsV,EN,6,3,5,5,5,4,4,5,3,3,4,5,5,5,2,3,2,4,4,4,5,4,4,3,3,2,2,4,5,2,5,5,5,4,3,4,2,3,3,3,1,3,4,1,3,3,5,5,5,5,5,2,2,2,4,3,2,3,4,3,5,3,4,3,5,4,4,4,3,3,3,3,2,523
2021-06-15T15:12:00,R_21vzCSUegTzAlr4,EN,6,3,5,5,5,5,4,5,3,1,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,4,5,5,5,5,5,4,4,4,4,3,4,4,4,5,4,4,4,5,3,3,3,4,5,3,4,3,4,4,4,4,3,4,4,2,3,3,3,4,5,4,4,4,4,3,2,623
2021-06-15T15:09:00,R_OlZ4FqQWprVxOy5,EN,6,3,5,5,5,4,2,4,4,2,4,3,3,4,4,4,4,4,4,3,4,3,3,4,3,3,2,4,4,4,4,4,4,4,3,3,4,3,3,4,1,4,4,2,4,3,4,3,3,5,3,4,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,1,748
2021-06-15T15:06:00,R_Yc9eh0JD1DLiKad,EN,6,2,4,4,4,4,2,5,4,2,5,5,5,5,1,3,2,3,4,4,3,3,4,5,2,3,1,5,5,4,4,4,4,4,4,4,1,2,3,3,4,4,4,1,1,3,1,1,4,2,5,4,3,2,2,3,3,3,4,3,4,3,3,3,3,5,5,3,4,3,3,3,2,626
2021-06-15T15:02:00,R_1FaH8k06iC8VWuI,EN,6,3,5,4,5,4,4,4,3,1,4,4,4,4,3,2,2,2,4,4,4,2,3,3,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,4,2,3,5,3,5,4,3,3,3,4,5,4,4,3,4,4,2,4,3,4,4,3,3,3,3,4,5,4,5,4,4,3,2,452
2021-06-15T14:24:00,R_25scHFlAEm7NDo2,EN,6,4,5,5,4,5,4,4,3,1,4,4,5,4,4,3,3,3,4,2,4,3,2,3,3,3,1,4,3,4,4,4,4,4,3,3,4,3,3,3,2,2,5,4,5,4,4,4,4,5,5,2,3,3,4,3,5,3,4,4,4,3,4,3,5,4,4,4,4,5,3,3,1,618
2021-06-15T14:18:00,R_eP3KFo3JEBZSHUR,EN,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,566
2021-06-15T13:09:00,R_DzXSVCHrCbBIYZH,EN,4,2,4,4,4,2,2,5,4,2,5,5,5,5,1,1,1,1,3,3,3,1,1,1,1,1,1,4,5,3,4,3,3,2,2,1,2,1,1,1,1,1,5,1,5,5,4,5,5,5,5,1,1,1,5,NA,4,3,2,2,3,2,2,2,2,4,2,2,4,3,1,1,1,1582
2021-06-15T10:52:00,R_cuXvSvgxuI3qntL,EN,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2816
