StartDate,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,language,district,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,X.1,Q131,Q132,,Q83_1,Q84_1,,DESE ID
3/12/18 11:52,100,649,TRUE,2018-03-12T12:3:0,R_vIhkQwgL4SmZbNv,EN,Boston,4,4,4,2,2,2,2,1,2,4,2,2,3,2,2,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,1,2,2,4,4,3,3,4,4,4,4,2,1,1,1,3,2,1,2,4,2,2,2,2,2,2,3,3,3,NA,3,3,,9,7,,350180
3/12/18 11:53,100,606,TRUE,2018-03-12T12:3:0,R_33COeSD9VoC3lpj,EN,Boston,5,5,5,4,4,5,1,3,1,2,2,2,4,2,4,4,2,3,4,4,2,5,4,4,5,5,5,5,3,4,1,3,2,3,2,1,4,4,4,5,5,4,4,4,5,5,5,5,3,5,5,2,5,5,5,5,3,5,4,5,5,5,3,5,2,5,NA,4,3,,8,4,,350560
3/12/18 11:55,100,703,TRUE,2018-03-12T12:6:0,R_1F4D4mvVr7POjGd,EN,Boston,5,5,5,3,3,4,2,2,3,4,2,1,4,2,3,3,2,2,3,2,2,3,3,3,4,3,3,2,3,2,3,3,3,3,2,2,4,4,5,3,3,3,3,3,4,4,4,5,2,1,1,1,2,3,1,1,3,2,2,3,2,3,3,4,3,4,NA,3,2,,8,5,,350505
3/12/18 11:57,100,604,TRUE,2018-03-12T12:7:0,R_1C12bJDbcKMacY2,EN,Boston,3,5,5,4,4,5,4,5,3,4,3,4,4,4,4,5,5,5,4,4,4,3,5,4,4,3,4,3,4,4,4,2,3,4,4,3,4,3,5,5,3,4,3,4,4,3,4,2,2,2,2,1,4,4,3,4,4,2,2,2,2,3,5,5,3,4,NA,3,4,,9,7,,350257
3/12/18 11:57,100,611,TRUE,2018-03-12T12:7:0,R_2b44pv9eIQ5DpqR,EN,Boston,5,5,5,2,2,4,3,2,1,1,2,1,3,4,3,3,2,2,3,3,2,3,3,4,3,3,3,3,3,3,4,4,3,3,2,1,3,1,2,2,4,4,5,5,5,5,4,4,2,3,3,3,3,3,3,3,4,4,4,3,3,4,1,3,3,4,NA,4,3,,8,5,,350560
3/12/18 12:01,100,423,TRUE,2018-03-12T12:8:0,R_1dbFgZ5HOIotMta,EN,Boston,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,5,4,4,5,3,3,2,3,3,2,2,1,2,1,1,5,5,5,5,5,5,5,5,2,2,3,4,5,5,3,5,4,3,3,4,4,4,1,3,3,4,NA,4,4,,9,1,,350278
3/12/18 12:02,100,401,TRUE,2018-03-12T12:9:0,R_28TLEcjU8fF1i7K,EN,Boston,4,4,4,2,2,3,2,2,1,2,2,2,4,3,3,2,2,2,3,3,3,4,3,4,4,5,5,5,3,3,2,2,3,2,2,1,1,1,1,2,4,3,3,2,3,3,4,5,3,3,2,2,3,3,3,3,4,3,2,4,3,3,2,2,4,4,NA,2,2,,8,6,,350302
3/12/18 12:03,100,401,TRUE,2018-03-12T12:10:0,R_1mPY5JLBAVQ8mdj,EN,Boston,5,4,5,3,4,4,2,2,2,2,2,3,2,3,4,4,4,2,3,4,3,3,2,2,4,3,3,3,2,2,2,3,3,3,2,1,3,2,3,3,5,3,3,4,4,4,4,4,3,1,2,2,3,3,2,3,2,1,1,3,3,4,3,3,3,3,NA,3,3,,6,3,,350445
3/12/18 11:56,100,941,TRUE,2018-03-12T12:12:0,R_2t9aoBbhS5xRbcS,EN,Boston,5,4,5,3,4,5,4,1,3,4,4,4,4,2,4,5,5,5,4,4,3,4,4,4,4,4,3,3,5,5,3,2,3,1,2,1,2,1,2,1,3,3,4,2,4,5,5,5,3,3,3,3,2,2,,2,3,4,2,3,3,4,3,4,4,4,NA,4,4,,8,5,,350298
3/12/18 11:59,100,832,TRUE,2018-03-12T12:13:0,R_308DSUnaW39f5ti,EN,Boston,4,5,4,2,2,3,1,2,1,2,1,1,3,1,3,1,1,1,2,1,2,2,3,1,2,2,3,2,2,2,2,1,3,3,1,1,1,1,1,1,3,,2,2,4,4,4,4,2,1,2,1,3,2,2,2,2,2,2,2,2,3,2,3,2,2,NA,3,2,,7,5,,350054
