Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Admin Grade 9,Grade 10,Grade 11,Grade 12,SP,Total,% of All Students,# of All Students
14.891385767790263,5,a-cppm-i2,2023-24,Mt Everett Regional,07650505,      42,      41,      42,      31,       0,     156,  99.4,     157
1.408239700374532,1.41,a-cppm-i2,2023-24,Nantucket High,01970505,       0,      11,      21,      24,       0,      56,   9.4,     593
1.5880149812734081,1.59,a-cppm-i2,2023-24,Narragansett Regional High,07200505,       0,       0,      16,      21,       0,      37,  10.6,     350
14.981273408239701,5,a-cppm-i2,2023-24,Nashoba Valley Technical High School,08520605,     214,     199,     193,     167,       0,     773, 100.0,     773
2.6816479400749063,2.68,a-cppm-i2,2023-24,New Bedford High,02010505,      15,      63,     221,     219,       0,     518,  17.9,"   2,893"
14.95131086142322,5,a-cppm-i2,2023-24,New Heights Charter School of Brockton,35130305,      96,     105,     112,      89,       0,     402,  99.8,     403
2.9962546816479403,3.0,a-cppm-i2,2023-24,New Liberty Innovation School,02580510,       7,       0,       0,       2,       0,       9,  20.0,      45
4.479400749063671,4.48,a-cppm-i2,2023-24,New Mission High School,00350542,       0,      50,      67,      36,       0,     153,  29.9,     512
3.955056179775281,3.96,a-cppm-i2,2023-24,Newton North High,02070505,     164,     224,      90,      81,       0,     559,  26.4,"   2,118"
0.0749063670411985,1,a-cppm-i2,2023-24,Newton South High,02070510,       0,       3,       6,       1,       0,      10,   0.5,"   1,861"
0.31460674157303375,1,a-cppm-i2,2023-24,Nipmuc Regional High,07100510,       2,      10,       0,       0,       0,      12,   2.1,     559
14.981273408239701,5,a-cppm-i2,2023-24,Norfolk County Agricultural,09150705,     153,     154,     148,     131,       0,     586, 100.0,     586
0.0749063670411985,1,a-cppm-i2,2023-24,North Andover High,02110505,       0,       0,       7,       0,       0,       7,   0.5,"   1,380"
0.0898876404494382,1,a-cppm-i2,2023-24,North Attleboro High,02120505,       0,       1,       4,       2,       0,       7,   0.6,"   1,079"
4.179775280898876,4.18,a-cppm-i2,2023-24,North High,03480515,      39,      58,     102,     197,       0,     396,  27.9,"   1,420"
4.464419475655431,4.46,a-cppm-i2,2023-24,North Quincy High,02430510,      12,     147,     132,     157,       1,     449,  29.8,"   1,508"
1.1235955056179776,1.12,a-cppm-i2,2023-24,Northampton High,02100505,       1,      19,      30,      18,       0,      68,   7.5,     907
0.8239700374531835,1,a-cppm-i2,2023-24,Northbridge High,02140505,       2,      11,       6,       7,       0,      26,   5.5,     473
14.606741573033709,5,a-cppm-i2,2023-24,Northeast Metro Regional Vocational,08530605,     359,     335,     321,     295,       0,"   1,310",  97.5,"   1,343"
1.3782771535580525,1.38,a-cppm-i2,2023-24,Norton High,02180505,      11,      30,      15,       7,       0,      63,   9.2,     685
1.1086142322097379,1.11,a-cppm-i2,2023-24,Norwood High,02200505,      19,      15,      17,      19,       0,      70,   7.4,     951
2.0224719101123596,2.02,a-cppm-i2,2023-24,O'Bryant School of Math & Science,00350575,      51,      26,      35,      52,       0,     164,  13.5,"   1,218"
14.981273408239701,5,a-cppm-i2,2023-24,Old Colony Regional Vocational Technical,08550605,     139,     137,     135,     138,       0,     549, 100.0,     549
1.8876404494382022,1.89,a-cppm-i2,2023-24,Old Rochester Regional High,07400505,      24,      31,      12,      10,       0,      77,  12.6,     610
14.936329588014981,5,a-cppm-i2,2023-24,Pathfinder Vocational Technical,08600605,     173,     168,     151,     149,       0,     641,  99.7,     643
4.599250936329588,4.6,a-cppm-i2,2023-24,Peabody Veterans Memorial High,02290510,     168,     109,      94,      65,       0,     436,  30.7,"   1,420"
0.1348314606741573,1,a-cppm-i2,2023-24,"Phoenix Academy Public Charter High School, Lawrence",35180505, , , , , ,       1,   0.9,     114
4.943820224719102,4.94,a-cppm-i2,2023-24,Plymouth North High,02390505,     112,      99,      98,     102,       0,     411,  33.0,"   1,247"
8.239700374531836,5,a-cppm-i2,2023-24,Plymouth South High,02390515,     161,     150,     123,     118,       0,     552,  55.0,"   1,003"
3.9850187265917607,3.99,a-cppm-i2,2023-24,Quabbin Regional High School,07530505,      40,      50,      52,       9,       0,     151,  26.6,     567
10.411985018726591,5,a-cppm-i2,2023-24,Quaboag Regional High,07780505,      41,      83,      72,      43,       0,     239,  69.5,     344
11.47565543071161,5,a-cppm-i2,2023-24,Quincy High,02430505,     336,     310,     294,     189,       0,"   1,129",  76.6,"   1,473"
3.0262172284644193,3.03,a-cppm-i2,2023-24,Randolph High,02440505,      19,      38,      37,      40,       0,     134,  20.2,     664
1.00374531835206,1.0,a-cppm-i2,2023-24,Reading Memorial High,02460505,      64,       9,       0,       0,       0,      73,   6.7,"   1,097"
0.5243445692883896,1,a-cppm-i2,2023-24,Revere High,02480505,       0,      73,       0,       0,       0,      73,   3.5,"   2,098"
10.876404494382022,5,a-cppm-i2,2023-24,Roger L. Putnam Vocational Technical Academy,02810620,       3,     354,     338,     309,       0,"   1,004",  72.6,"   1,383"
10.906367041198502,5,a-cppm-i2,2023-24,Salem High,02580505,     225,     164,     144,     157,       0,     690,  72.8,     948
1.8726591760299627,1.87,a-cppm-i2,2023-24,Salem Prep High School,02580515, , , , , ,       2,  12.5,      16
14.981273408239701,5,a-cppm-i2,2023-24,Shawsheen Valley Vocational Technical High School,08710605,     321,     325,     333,     327,       0,"   1,306", 100.0,"   1,306"
0.7490636704119851,1,a-cppm-i2,2023-24,Shepherd Hill Regional High,06580505,       1,      11,      12,      23,       0,      47,   5.0,     937
5.168539325842697,5,a-cppm-i2,2023-24,Silver Lake Regional High,07600505,      99,      85,      83,      87,       0,     354,  34.5,"   1,026"
3.0711610486891385,3.07,a-cppm-i2,2023-24,Sizer School: A North Central Charter Essential School,04740505,       0,       0,      17,      21,       0,      38,  20.5,     185
14.981273408239701,5,a-cppm-i2,2023-24,Smith Vocational and Agricultural High,04060705,     148,     147,     146,     128,       0,     569, 100.0,     569
2.4569288389513106,2.46,a-cppm-i2,2023-24,Somerset Berkley Regional High School,07630505,      29,      22,      47,      59,       0,     157,  16.4,     960
8.898876404494382,5,a-cppm-i2,2023-24,Somerville High,02740505,     301,     220,     164,     129,       1,     815,  59.4,"   1,373"
2.00749063670412,2.01,a-cppm-i2,2023-24,South Hadley High,02780505,       0,      17,      22,      29,       0,      68,  13.4,     508
4.928838951310861,4.93,a-cppm-i2,2023-24,South High Community,03480520,     115,     155,     138,     182,       0,     590,  32.9,"   1,791"
14.981273408239701,5,a-cppm-i2,2023-24,South Shore Vocational Technical High,08730605,     176,     170,     164,     157,       0,     667, 100.0,     667
14.981273408239701,5,a-cppm-i2,2023-24,Southeastern Regional Vocational Technical,08720605,     417,     404,     397,     379,       0,"   1,597", 100.0,"   1,597"
2.0823970037453186,2.08,a-cppm-i2,2023-24,Southwick Regional School,07660505,      18,      16,       8,      12,       0,      54,  13.9,     388
